DOC_ID,Author
0,['Unknown author']
2,['Unknown author']
3,['Unknown author']
4,['Unknown author']
5,['Unknown author']
6,['Unknown author']
7,['Unknown author']
8,['Unknown author']
11,['Unknown author']
12,['Unknown author']
20,['Unknown author']
27,['Unknown author']
28,['Unknown author']
33,['Unknown author']
35,['Unknown author']
40,['Unknown author']
41,['Unknown author']
42,['Unknown author']
44,['Unknown author']
47,['Unknown author']
48,['Unknown author']
49,['Unknown author']
52,['Unknown author']
53,['Unknown author']
54,['Unknown author']
55,['Unknown author']
56,['Unknown author']
58,['Unknown author']
59,['Unknown author']
60,['Unknown author']
61,['Unknown author']
62,['Unknown author']
63,['Unknown author']
64,['Unknown author']
65,['Unknown author']
66,['Unknown author']
67,['Unknown author']
69,['Unknown author']
70,['Unknown author']
71,['Unknown author']
72,['Unknown author']
73,['Unknown author']
74,['Unknown author']
75,['Unknown author']
77,['Unknown author']
78,['Unknown author']
79,['Unknown author']
80,['Unknown author']
81,['Unknown author']
82,['Unknown author']
83,['Unknown author']
84,['Unknown author']
85,['Unknown author']
86,['Unknown author']
87,['Unknown author']
88,['Unknown author']
89,['Unknown author']
90,['Unknown author']
91,['Unknown author']
92,['Unknown author']
93,['Unknown author']
94,['Unknown author']
96,['Unknown author']
99,['Unknown author']
100,['Unknown author']
102,['Unknown author']
103,['Unknown author']
104,['Unknown author']
105,['Unknown author']
106,['Unknown author']
107,['Unknown author']
108,['Unknown author']
109,['Unknown author']
110,['Unknown author']
111,['Unknown author']
112,['Unknown author']
113,['Unknown author']
114,['Unknown author']
115,['Unknown author']
117,['Unknown author']
118,['Unknown author']
119,['Unknown author']
120,['Unknown author']
121,['Unknown author']
122,['Unknown author']
124,['Unknown author']
125,['Unknown author']
126,['Unknown author']
128,['Unknown author']
129,['Unknown author']
130,['Unknown author']
131,['Unknown author']
132,['Unknown author']
133,['Unknown author']
134,['Unknown author']
135,['Unknown author']
136,['Unknown author']
137,['Unknown author']
138,['Unknown author']
140,['Unknown author']
141,['Unknown author']
142,['Unknown author']
143,['Unknown author']
144,['Unknown author']
145,['Unknown author']
146,['Unknown author']
147,['Unknown author']
148,['Unknown author']
149,['Unknown author']
150,['Unknown author']
151,['Unknown author']
152,['Unknown author']
153,['Unknown author']
154,['Unknown author']
155,['Unknown author']
157,['Unknown author']
158,['Unknown author']
160,['Unknown author']
161,['Unknown author']
162,['Unknown author']
163,['Unknown author']
164,['Unknown author']
165,['Unknown author']
166,['Unknown author']
167,['Unknown author']
168,['Unknown author']
169,['Unknown author']
170,['Unknown author']
171,['Unknown author']
172,['Unknown author']
173,['Unknown author']
174,['Unknown author']
175,['Unknown author']
176,['Unknown author']
177,['Unknown author']
178,['Unknown author']
179,['Unknown author']
180,['Unknown author']
181,['Unknown author']
182,['Unknown author']
183,['Unknown author']
184,['Unknown author']
185,['Unknown author']
201,['Unknown author']
209,['Unknown author']
224,['Unknown author']
225,['Unknown author']
226,['Unknown author']
230,['Unknown author']
231,['Unknown author']
234,['Unknown author']
235,['Unknown author']
236,['Unknown author']
242,['Unknown author']
249,['Unknown author']
258,['Unknown author']
260,['Unknown author']
275,['Unknown author']
282,['Unknown author']
284,['Unknown author']
285,['Unknown author']
287,['Unknown author']
289,['Unknown author']
292,['Unknown author']
295,['Unknown author']
296,['Unknown author']
307,['Unknown author']
314,['Unknown author']
318,['Unknown author']
319,['Unknown author']
321,['Unknown author']
329,['Unknown author']
330,['Unknown author']
333,['Unknown author']
341,['Unknown author']
343,['Unknown author']
344,['Unknown author']
346,['Unknown author']
347,['Unknown author']
348,['Unknown author']
351,['Unknown author']
353,['Unknown author']
355,['Unknown author']
356,['Unknown author']
357,['Unknown author']
358,['Unknown author']
361,['Unknown author']
362,['Unknown author']
363,['Unknown author']
364,['Unknown author']
365,['Unknown author']
366,['Unknown author']
367,['Unknown author']
382,['Unknown author']
384,"['-elgayoum', ' salwa. m. e. el-feki', ' abd el-karim ahmed. mahgoub', ' babiker ahmed. el-rayah', ' elamin. giha', ' hayder.  a.']"
385,"['a.', ' a. o. m.', ' m. m. a. h. a. elamin', ' m. y. younis', ' b. m. e. m. e. musa', ' a. m. elhassan', ' a. m. g. e. a.']"
386,"['a. elbasit ie a. elgadir t. m. elghazali', ' g. elbashir', ' m. i. giha', ' h. a.']"
387,"['a. elbasit ie alifrangis', ' m. khalil', ' i. f. bygbjerg', ' i. c. masuadi', ' e. m. elbashir', ' m. i. giha', ' h. a.']"
388,"['a. elbasit ie elbashir', ' m. i. khalil', ' i. f. alifrangis', ' m. giha', ' h. a.']"
389,"['a. elbasit ie elghazali', ' g. a. elgadir t. m. hamad', ' a. a. babiker', ' h. a. elbashir', ' m. i. giha', ' h. a.']"
390,"['a. elbasit ie khalil', ' i. f. elbashir', ' m. i. masuadi', ' e. m. bygbjerg', ' i. c. alifrangis', ' m. giha', ' h. a.']"
391,"['a. elgadir t. m. elbashir', ' m. i. berzins', ' k. masuadi', ' e. m. a. elbasit ie elghazali', ' g. giha', ' h. a.']"
392,"['a. elgadir t. m. theander', ' t. g. elghazali', ' g. nielsen', ' m. a. a. elbasit ie adam', ' i. troye-blomberg', ' m. elbashir', ' m. i. giha', ' h. a.']"
394,"['a. elgayoum s. m. el-rayah', ' e. a. giha', ' h. a.']"
395,"['a. elgayoum s. m. el-rayah el', ' a. giha', ' h. a.']"
396,"['a. elgayoum s. m. el-rayah el', ' a. giha', ' h. a.']"
397,"['a. magid y. m. elussein', ' e. a. omer', ' m. m. samaan', ' s. i. a. rahim f adam', ' i.']"
398,"['a. rahman s. h. mohamedani', ' a. a. mirgani', ' e. m. ibrahim', ' a. m.']"
399,"['a. s. safi', ' ahmed']"
400,"['a. wahab m. m. ismail', ' a. m. rais', ' m. a. ishag', ' y. a.']"
401,"['aaby', ' p. ibrahim', ' s. a. libman', ' m. d. jensen', ' h.']"
402,"['aaby', ' p. ravn', ' h. benn', ' c. s. rodrigues', ' a. samb', ' b. ibrahim', ' s. a. libman', ' m. d. whittle', ' h. c.']"
403,"['aaby', ' p. ravn', ' h. benn', ' c. s. rodrigues', ' a. samb', ' b. ibrahim', ' s. a. libman', ' m. d. whittle', ' h. c.']"
405,"['abadi', ' r. s.']"
