Type of reference (TY),First Author (A1),Secondary Author (A2),Tertiary Author (A3),Subsidiary Author (A4),Abstract (AB),Author Address (AD),Accession Number (AN),Author (AU),Location in Archives (AV),This field maps to T2 for all reference types except for Whole Book and Unpublished Work references. (BT),Custom 1 (C1),Custom 2 (C2),Custom 3 (C3),Custom 4 (C4),Custom 5 (C5),Custom 6 (C6),Custom 7 (C7),Custom 8 (C8),Caption (CA),Call Number (CN),This field can contain alphanumeric characters. (CP),Title of unpublished reference (CT),Place Published (CY),Date (DA),Name of Database (DB),DOI (DO),Database Provider (DP),Editor (ED),End Page (EP),Edition (ET),Reference ID (ID),Issue number (IS),Periodical name: user abbreviation 1. (J1),Alternate Title (J2),Periodical name: standard abbreviation. (JA),Journal/Periodical name: full format. (JF),Journal/Periodical name: full format. (JO),Keywords (KW),Link to PDF. (L1),Link to Full-text. (L2),Related Records. (L3),Image(s). (L4),Language (LA),Label (LB),Website Link (LK),Number (M1),Miscellaneous 2. (M2),Type of Work (M3),Notes (N1),Abstract. (N2),Number of Volumes (NV),Original Publication (OP),Publisher (PB),Publishing Place (PP),Publication year (YYYY/MM/DD) (PY),Reviewed Item (RI),Research Notes (RN),Reprint Edition (RP),Section (SE),ISBN/ISSN (SN),Start Page (SP),Short Title (ST),Primary Title (T1),Secondary Title (T2),Tertiary Title (T3),Translated Author (TA),Title (TI),Translated Title (TT),User definable 1. (U1),User definable 2. (U2),User definable 3. (U3),User definable 4. (U4),User definable 5. (U5),URL (UR),Volume number (VL),Published Standard number (VO),Primary Date (Y1),Access Date (Y2),End of Reference (ER)
JOUR ,,,,,,,,"Farid, N. R. ",,,,,,,,,,,,,,,,1986,,,,,,,28699,,,,,,,HLA-DR3 DRw6-Pgnostic Ftors Hpothyroidism Graves' Disease Radioiodine ,,,,,,,,,,,,,,,,,1986,,,,,,323-328 ,HLA-DR3 and DRw6-prognostic factors for the incidence of hypothyroidism in Graves's disease after the radioiodine treatment ,,Acta Endocrinologica ,,,HLA-DR3 and DRw6-prognostic factors for the incidence of hypothyroidism in Graves's disease after the radioiodine treatment ,,,,,,,,113,,,,  
JOUR ,,,,,"A study was conducted to assess the obstetric care coverage provided by the Sudanese village midwives. Mothers and village midwives, from four villages were interviewed using structured questionnaires. A total of 130 mothers who had delivered within 6 months were included in the study. Seventy per cent of these mothers contacted the village midwives at least once during their pregnancy. The average attendance was 3.8 antenatal contacts per mother. Seventy-one per cent of those who contacted the village midwives did so during the first half of pregnancy. Half of these mothers were seen in the village midwife's own home and only 20 per cent were in the mothers' homes. The village midwife attended 76 per cent of the deliveries, 11 per cent were attended by the traditional birth attendants, and the remainder delivered in hospital. The village midwives demonstrated reasonable standard of knowledge and competence in various aspects of antenatal care, history taking, examination, and selection of cases for referral. They lack adequate support and supervision, and supplies of drugs such as iron, folic acid, and chloroquine tablets. ",,,"Altigani, M. ",,,,,,,,,,,,,,,,Feb ,,,,,,,28703,1,,,,,,Adolescent Adult Female Humans Interviews as Topic Midwifery/education/statistics & numerical data Pregnancy Prenatal Care/statistics & numerical data Rural Population Sudan ,,,,,,,,,,,"Altigani, M eng England 1992/02/01 J Trop Pediatr. 1992 Feb;38(1):43-8. ",,,,,,1992,,,,,,43-8 ,The role of the village midwives in antenatal care services in the Sudan ,,J Trop Pediatr ,,,The role of the village midwives in antenatal care services in the Sudan ,,,,,,,,38,,,,  
JOUR ,,,,,"As part of a World Health Organization-led effort to update the empirical evidence base for the leishmaniases, national experts provided leishmaniasis case data for the last 5 years and information regarding treatment and control in their respective countries and a comprehensive literature review was conducted covering publications on leishmaniasis in 98 countries and three territories (see 'Leishmaniasis Country Profiles Text S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S70, S71, S72, S73, S74, S75, S76, S77, S78, S79, S80, S81, S82, S83, S84, S85, S86, S87, S88, S89, S90, S91, S92, S93, S94, S95, S96, S97, S98, S99, S100, S101'). Additional information was collated during meetings conducted at WHO regional level between 2007 and 2011. Two questionnaires regarding epidemiology and drug access were completed by experts and national program managers. Visceral and cutaneous leishmaniasis incidence ranges were estimated by country and epidemiological region based on reported incidence, underreporting rates if available, and the judgment of national and international experts. Based on these estimates, approximately 0.2 to 0.4 cases and 0.7 to 1.2 million VL and CL cases, respectively, occur each year. More than 90% of global VL cases occur in six countries: India, Bangladesh, Sudan, South Sudan, Ethiopia and Brazil. Cutaneous leishmaniasis is more widely distributed, with about one-third of cases occurring in each of three epidemiological regions, the Americas, the Mediterranean basin, and western Asia from the Middle East to Central Asia. The ten countries with the highest estimated case counts, Afghanistan, Algeria, Colombia, Brazil, Iran, Syria, Ethiopia, North Sudan, Costa Rica and Peru, together account for 70 to 75% of global estimated CL incidence. Mortality data were extremely sparse and generally represent hospital-based deaths only. Using an overall case-fatality rate of 10%, we reach a tentative estimate of 20,000 to 40,000 leishmaniasis deaths per year. Although the information is very poor in a number of countries, this is the first in-depth exercise to better estimate the real impact of leishmaniasis. These data should help to define control strategies and reinforce leishmaniasis advocacy. ",,,"den Boer, M. ",,,,Pmc3365071 ,,,,,,,,,,,,,,,,,,14/06/2012,28722,5,,PloS one ,,,, Geography  Internationality Leishmaniasis/epidemiology/etiology/mortality  Time Factors World Health Organization ,,,,,,,,,,,,,,,,,2012,,,,,,e35671 ,Leishmaniasis worldwide and global estimates of its incidence ,,PLoS One ,,,Leishmaniasis worldwide and global estimates of its incidence ,,,,,,,,7,,,,  
JOUR ,,,,,"As part of a World Health Organization-led effort to update the empirical evidence base for the leishmaniases, national experts provided leishmaniasis case data for the last 5 years and information regarding treatment and control in their respective countries and a comprehensive literature review was conducted covering publications on leishmaniasis in 98 countries and three territories (see 'Leishmaniasis Country Profiles Text S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S70, S71, S72, S73, S74, S75, S76, S77, S78, S79, S80, S81, S82, S83, S84, S85, S86, S87, S88, S89, S90, S91, S92, S93, S94, S95, S96, S97, S98, S99, S100, S101'). Additional information was collated during meetings conducted at WHO regional level between 2007 and 2011. Two questionnaires regarding epidemiology and drug access were completed by experts and national program managers. Visceral and cutaneous leishmaniasis incidence ranges were estimated by country and epidemiological region based on reported incidence, underreporting rates if available, and the judgment of national and international experts. Based on these estimates, approximately 0.2 to 0.4 cases and 0.7 to 1.2 million VL and CL cases, respectively, occur each year. More than 90% of global VL cases occur in six countries: India, Bangladesh, Sudan, South Sudan, Ethiopia and Brazil. Cutaneous leishmaniasis is more widely distributed, with about one-third of cases occurring in each of three epidemiological regions, the Americas, the Mediterranean basin, and western Asia from the Middle East to Central Asia. The ten countries with the highest estimated case counts, Afghanistan, Algeria, Colombia, Brazil, Iran, Syria, Ethiopia, North Sudan, Costa Rica and Peru, together account for 70 to 75% of global estimated CL incidence. Mortality data were extremely sparse and generally represent hospital-based deaths only. Using an overall case-fatality rate of 10%, we reach a tentative estimate of 20,000 to 40,000 leishmaniasis deaths per year. Although the information is very poor in a number of countries, this is the first in-depth exercise to better estimate the real impact of leishmaniasis. These data should help to define control strategies and reinforce leishmaniasis advocacy. ",,,"Team, W. H. O. Leishmaniasis Control ",,,,PMC3365071 ,,,,,,,,,,,,,,,,,,,28723,5,,,,,,Female Geography Humans Internationality Leishmaniasis/epidemiology/etiology/mortality Male Time Factors World Health Organization ,,,,,,,,,,,"Alvar, Jorge Velez, Ivan D Bern, Caryn Herrero, Merce Desjeux, Philippe Cano, Jorge Jannin, Jean den Boer, Margriet eng Research Support, Non-U.S. Gov't 2012/06/14 06:00 PLoS One. 2012;7(5):e35671. doi: 10.1371/journal.pone.0035671. Epub 2012 May 31. ",,,,,,2012,,,,,,e35671 ,Leishmaniasis worldwide and global estimates of its incidence ,,PLoS One ,,,Leishmaniasis worldwide and global estimates of its incidence ,,,,,,,,7,,,,  
JOUR ,,,,,,,,"Bern, Caryn ",,,,,,,,,,,,,,,,2006,,,,,,,28724,12,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,552-557 ,Leishmaniasis and poverty ,,Trends in parasitology ,,,Leishmaniasis and poverty ,,,,,,,,22,,,,  
JOUR ,,,,,"OBJECTIVE: Malaria is a common disease in many tropical and subtropical areas, which may threaten life. In this study, we examined the epidemiology of malaria in Bursa province using the data provided by the Province Health Directorate, collected over 2009 to 2012. METHODS: The data include a total of 29.683 blood samples taken by active and passive surveillance. Giemsa-stained thin and thick blood smears were examined with a 100X oil immersion objective using a standard microscope. RESULTS: A total of 21 (0.07%) malaria cases were detected. Of these, 20 (95.2%) cases were male and 1 (4.8%) case was female, with highest rates occurring in June and September. All of the cases were imported, of whom 10 (47.6%) were caused by Plasmodium vivax and 11 (52.4%) by P. falciparum. All P. falciparum cases were found to be imported cases that traveled to African nations (Cote d'Ivoire, Sudan, Equatorial Guinea, Nigeria, Senegal, Mali, Somalia). Malaria cases were mainly observed in the 15-to-44-year-old range. CONCLUSION: We believe that these results will lead to better-targeted and more effective malaria control programs. ",,,"Goral, G. ",,,,,,,,,,,,,,,,Jun ,,,,,,,28725,2,,,,,,"Adolescent Adult Azure Stains Female Humans Malaria, Falciparum/epidemiology/transmission Malaria, Vivax/epidemiology/transmission Male Plasmodium falciparum/isolation & purification Plasmodium vivax/isolation & purification Travel Turkey/epidemiology ",,,,,,,,,,,"Alver, Oktay Atici, Efrail Goral, Guher tur English Abstract Turkey 2014/07/13 06:00 Turkiye Parazitol Derg. 2014 Jun;38(2):81-4. doi: 10.5152/tpd.2014.3425. ",,,Bursa Ilinde Sitma Epidemiyolojisi--2009-2012. ,,,2014,,,,,,81-4 ,[The epidemiology of malaria in Bursa--2009-2012] ,,Turkiye Parazitol Derg ,,,[The epidemiology of malaria in Bursa--2009-2012] ,,,,,,,,38,,,,  
JOUR ,,,,,"Malaria caused by Plasmodium parasites is one of the most common infectious diseases and an enormous public health problem. In this study, malaria cases detected and reported by the Malaria Control Dispensary of the Infectious Disease Division of Bursa Health Directory from October 2006 through December 2008 have been reported. The cases were evaluated according to age, gender, occupation and localization of the cases (indigenous or imported cases). A total of 23.416 blood smears were examined during this 26-month period and malaria parasite was found in 9 cases (0.038%). Of the 9 positive cases, 8 (88.9%) were male and 1 (11.1%) was female. Of these, 4 (44.5%) were acquired in Azarbajcan; 1 (1.1%) in Pakistan; 1 (1.1%) in Ghana; 1 (1.1%) in Sudan; 1 (1.1%) in an unknown Africa country; and 1 (1.1%) in the southeastern of Turkey. Except for three cases of foreign origin infected with Plasmodium falciparum, all the other cases were caused by Plasmodium vivax. The 0.05% decrease in malaria cases during the last 26-month, compared with prior data of malaria prevalence in Bursa, resulted primarily from a decrease in the number of cases acquired in Turkey. ",,,"Tore, O. ",,,,,,,,,,,,,,,,,,,,,,,28726,2,,,,,,"Adolescent Child Child, Preschool Female Humans Infant Malaria, Falciparum/epidemiology Malaria, Vivax/epidemiology Male Prevalence Travel Turkey/epidemiology ",,,,,,,,,,,"Alver, Oktay Atici, Efrail Tore, Okan tur English Abstract Turkey 2009/07/15 09:00 Turkiye Parazitol Derg. 2009;33(2):131-5. ",,,Bursa Ilinde 2006-2008 Yillari Arasinda Saptanan Sitma Olgularinin Degerlendirilmesi. ,,,2009,,,,,,131-5 ,[The investigation of malaria cases in Bursa between 2006-2008] ,,Turkiye Parazitol Derg ,,,[The investigation of malaria cases in Bursa between 2006-2008] ,,,,,,,,33,,,,  
JOUR ,,,,,"As of 30 June 2006, more than 3.5 million Colombians are internally displaced persons (IDPs), the second largest IDP population in the world after that of Sudan. While most IDP studies treat the plight of internally displaced women (IDW) as an isolated phenomenon, this paper demonstrates that their situation reflects Colombia's chronic cultural, political and socio-economic crisis. This paper uses a sexual and reproductive rights framework to establish a connection between IDW and Colombia's culture of violence, discrimination and inequality. The effects of this culture of violence, discrimination and inequality are highlighted during a discussion of the rights to health, reproduction, privacy, physical integrity, education, and freedom from violence and sexual exploitation. This paper argues that a holistic understanding of Colombia's humanitarian emergency is essential to improving the lives of IDPs. It ends with some concrete, short-term recommendations to meet some of the needs of IDPs and other vulnerable populations. ",,,"Alzate, M. M. ",,,,,,,,,,,,,,,,Mar ,,,,,,,28734,1,,,,,,Colombia Culture Emigration and Immigration Female Health Services Needs and Demand Health Status Disparities Homeless Persons Human Rights Humans Prejudice Refugees Reproductive Rights Sexual Behavior Socioeconomic Factors Violence ,,,,,,,,,,,"Alzate, Monica M eng England 2008/01/26 09:00 Disasters. 2008 Mar;32(1):131-48. doi: 10.1111/j.1467-7717.2007.01031.x. ",,,,,,2008,,,,,,131-48 ,The sexual and reproductive rights of internally displaced women: the embodiment of Colombia's crisis ,,Disasters ,,,The sexual and reproductive rights of internally displaced women: the embodiment of Colombia's crisis ,,,,,,,,32,,,,  
JOUR ,,,,,"BACKGROUND: The use of pediatric CT that had recently emerged as a valuable imaging tool has increased rapidly with an annual growth estimated at about 10% per year. Worldwide, there is a remarkable increase in the number of CT examinations performed. The purposes of this study are to: (i) to measure the radiation dose and estimate the effective doses to pediatric patients during CT for chest, abdomen and brain. MATERIAL/METHODS: A total of 182 patients were investigated. CT scanners that participated in this study are helical CT scanners (64 slices, 16 slices and dual slices). Organ and surface dose to specific radiosensitive organs were estimated by using software from National Radiological Protection Board (NRPB). RESULTS: For all patients, the age was ranged between 1.12 month-10.0 years while the weight was ranged between 5.0 kg to 29.0 kg. The DLP was 320.58 mGy.cm, 79.93 mGy.cm, 66.63 mGy.cm for brain, abdomen and chest respectively. The effective dose was, 2.05, 1.8, 1.08 mSv for brain, abdomen and chest respectively. CONCLUSIONS: The patient dose is independent of CT modality and depends on operator experience and CT protocol. The study has shown a great need for referring criteria, continuous training of staff in radiation protection concepts. Further studies are required in order to establish a reference level in Sudan. ",,,"Alzimami, K. ",,,,PMC4186214 ,,,,,,,,,,,,,,,,,,,28737,,,,,,,Dose-Response Relationship Radiation Relative Biological Effectiveness Tomography Scanners X-Ray Computed ,,,,,,,,,,,"Alzimami, Khalid eng Poland 2014/10/08 06:00 Pol J Radiol. 2014 Oct 1;79:344-8. doi: 10.12659/PJR.890806. eCollection 2014. ",,,,,,2014,,,,,,344-8 ,Assessment of Radiation doses to Paediatric Patients in Computed Tomography Procedures ,,Pol J Radiol ,,,Assessment of Radiation doses to Paediatric Patients in Computed Tomography Procedures ,,,,,,,,79,,,,  
JOUR ,,,,,"The aims of this study were to measure the patients' entrance surface air kerma doses (ESAK), effective doses and to compare practices between different hospitals in Sudan. ESAK were measured for patient using calibrated thermo luminance dosimeters (TLDs, GR200A). Effective doses were estimated using National radiological Protection Board (NRPB) software. This study was conducted in five radiological departments: Two Teaching Hospitals (A and D), two private hospitals (B and C) and one University Hospital (E). The mean ESAK was 20.1mGy, 28.9mGy, 13.6mGy, 17.5mGy, 35.7mGy for hospitals A, B, C, D, and E, respectively. The mean effective dose was 2.4mSv, 3.5mSv, 1.6mSv, 2.1mSv and 4.3mSv in the same order. The study showed wide variations in the ESDs with three of the hospitals having values above the internationally reported values. ",,,"Omer, H. ",,,,,,,,,,,,,,,,Jun ,,,,,,,28738,,,,,,,Effective dose Hsg Patient dosimetry Radiation risks Tld ,,,,,,,,,,,"Alzimami, K Sulieman, A Babikir, E Alsafi, K Alkhorayef, M Omer, Hiba eng England 2015/03/11 06:00 Appl Radiat Isot. 2015 Jun;100:2-6. doi: 10.1016/j.apradiso.2015.02.009. Epub 2015 Feb 13. ",,,,,,2015,,,,,,02-Jun,Estimation of effective dose during hystrosalpingography procedures in certain hospitals in Sudan ,,Appl Radiat Isot ,,,Estimation of effective dose during hystrosalpingography procedures in certain hospitals in Sudan ,,,,,,,,100,,,,  
